source_package	dest_package	call_edges	distinct_caller_routines	distinct_callee_routines
Ext Rev Track	VA FileMan	45	23	7
Integrated Billing	Income Verification Match	45	25	4
Medicine	Registration	45	25	2
Prosthetics	IFCAP	45	33	13
Toolkit	MailMan	45	31	6
Web Services Client	VA FileMan	45	13	11
Clinical Information Resource Network	Run Time Library	44	14	14
Clinical Procedures	Text Integration Utility	44	16	9
Drug Accountability	Kernel	44	33	6
Enterprise Health Management Platform	Registration	44	17	14
Imaging	Text Integration Utility	44	18	14
Order Entry Results Reporting	DRG Grouper	44	23	2
Outpatient Pharmacy	Health Level Seven	44	22	6
Radiology Nuclear Medicine	Health Level Seven	44	24	9
Radiology Nuclear Medicine	Registration	44	34	6
Uncategorized	Scheduling	44	11	23
Clinical Procedures	Registration	43	24	10
Order Entry Results Reporting	Lexicon Utility	43	14	7
PCE Patient Care Encounter	Lexicon Utility	43	35	6
Prosthetics	List Manager	43	16	3
Surgery	Text Integration Utility	43	18	9
PCE Patient Care Encounter	CPT HCPCS Codes	42	34	3
Pharmacy Data Management	MailMan	42	42	4
Radiology Nuclear Medicine	MailMan	42	36	7
Registration	PCE Patient Care Encounter	42	14	5
VistALink Security	Kernel	42	6	22
Automated Medical Information Exchange	Toolkit	41	31	1
Barcode Medication Administration	Registration	41	24	10
Dental	Registration	41	28	5
Income Verification Match	List Manager	41	19	4
Lab Service	DRG Grouper	41	23	3
Outpatient Pharmacy	National Drug File	41	32	6
RPC Broker	Kernel	41	16	17
Text Integration Utility	Authorization Subscription	41	38	5
Automated Lab Instruments	Health Level Seven	40	19	9
General Medical Record - Generator	VA FileMan	40	21	8
General Medical Record - Vitals	Toolkit	40	15	2
Insurance Capture Buffer	Kernel	40	18	7
Registration	ODS	40	39	3
Authorization Subscription	List Manager	39	15	5
Automated Information Collection System	Registration	39	23	9
Kernel	RPC Broker	39	12	16
Mobile Scheduling Applications Suite	VA FileMan	39	18	6
Shift Handoff Tool	Shift Handoff Tool	39	14	14
Lexicon Utility	CPT HCPCS Codes	38	22	3
Authorization Subscription	VA FileMan	37	20	9
Automated Medical Information Exchange	MailMan	37	29	7
Graphics	Registration	37	8	12
List Manager	VA FileMan	37	21	8
Methicillin Resistant Staph Aurerus Initiative Reports	Kernel	37	13	4
Problem List	List Manager	37	14	3
VA Point of Service	Kernel	37	20	7
Virtual Patient Record	Order Entry Results Reporting	37	16	4
Clinical Case Registries	Scheduling	36	5	4
Clinical Reminders	Lexicon Utility	36	18	5
EEO Complaint Tracking	VA FileMan	36	22	6
Insurance Capture Buffer	VA Certified Components - DSSI	36	14	7
Methicillin Resistant Staph Aurerus Initiative Reports	Methicillin Resistant Staph Aurerus Initiative Reports	36	10	11
Utilization Management Rollup	VA FileMan	36	21	6
Web Services Client	Web Services Client	36	14	12
Automated Lab Instruments	Registration	35	17	8
Clinical Case Registries	Registration	35	28	13
Consult Request Tracking	Health Level Seven	35	19	7
Surgery	MailMan	35	35	3
Imaging	Health Level Seven	34	16	7
Lab Service	List Manager	34	17	3
National Health Information Network	VA FileMan	34	18	6
Nursing Service	General Medical Record - Generator	34	20	10
ODS	ODS	34	15	14
Scheduling	DRG Grouper	34	18	2
Order Entry Results Reporting	Problem List	33	13	12
CPT HCPCS Codes	CPT HCPCS Codes	32	11	7
Clinical Monitoring System	Quality Assurance Integration	32	22	7
National Online Information Sharing	List Manager	32	27	3
Nursing Service	Registration	32	28	2
PAID	List Manager	32	10	5
Problem List	Lexicon Utility	32	14	7
Quality Assurance Integration	VA FileMan	32	13	8
Quasar	Kernel	32	18	6
Virtual Patient Record	Text Integration Utility	32	11	9
Birmingham CIOFO	VA FileMan	31	16	5
Income Verification Match	MailMan	31	30	2
M XML Parser	M XML Parser	31	4	3
Pharmacy Data Management	Inpatient Medications	31	17	16
VistALink Security	VistALink Security	31	6	6
Web Services Client	List Manager	31	7	4
A1BF Response Time	A1BF Response Time	30	10	18
Adverse Reaction Tracking	MailMan	30	25	8
Fee Basis	IFCAP	30	18	6
Health Summary	Order Entry Results Reporting	30	13	12
Methicillin Resistant Staph Aurerus Initiative Reports	VA FileMan	30	12	8
Network Health Exchange	VA FileMan	30	12	6
Outpatient Pharmacy	Adverse Reaction Tracking	30	26	4
Patient Data Exchange	Registration	30	19	12
Surgery	Health Level Seven	30	18	5
Vendor - ISI	Kernel	30	26	5
Virtual Patient Record	Pharmacy Data Management	30	8	8
Consult Request Tracking	MailMan	29	18	5
Lab Service	Order Entry Results Reporting	29	21	13
Network Health Exchange	Kernel	29	11	7
Order Entry Results Reporting	Dietetics	29	16	9
Quasar	Registration	29	22	5
Text Integration Utility	Toolkit	29	21	5
Vendor - Document Storage Systems	VA Certified Components - DSSI	29	16	10
Consult Request Tracking	Toolkit	28	18	2
