ien	name	item_text	type	package	entry_action	exit_action
6363	PSO LM REFILL REMOTE ORDER	Refill Rx from Another VA Pharmacy	A		D REFREQ^PSORRX1	
6364	PSO LM REMOTE PARTIAL	Partial Fill Rx from Another VA Pharmacy	A		D PARTIAL^PSORRX1	
6365	PSO REMOTE RX RDS-O13 EVENT	Pharmacy/Treatment Dispense Message	E			
6366	PSO REMOTE RX RDS-O13 ESUBS	Pharmacy/Treatment Dispense Message	S			
6367	PSO LM REMOTE RX REPORT MENU	Remote Rx Selection	M	OUTPATIENT PHARMACY		
6368	PSO LM SELECT REPORT ITEM	Select Item	A	OUTPATIENT PHARMACY	D SEL^PSORRP	Q
6369	IBCNCH COMMENT HISTORY MENU	Pt Policy Comments	M			I $G(IBFASTXT)=1 S VALMBCK="Q"
6370	IBCNCH ADD COMMENT	Add Comment	A	INTEGRATED BILLING	D ADDCOM^IBCNCH	
6371	IBCNCH EXPAND COMMENT	Expand Entry	A	INTEGRATED BILLING	D EXPCOM^IBCNCH3	
6372	IBCNCH DELETE COMMENT	Delete Comment	A	INTEGRATED BILLING	D DELETE^IBCNCH	
6373	IBCNCH SEARCH LIST	Search List	A	INTEGRATED BILLING	D SEARCH^IBCNCH2	
6374	IBCNCH EDIT COMMENT	Edit Comment	A	INTEGRATED BILLING	D EDIT^IBCNCH	
6375	IBCNSP PATIENT POLICY COMMENTS ADD/EDIT	Pt Policy Comments	A	INTEGRATED BILLING	D EN^IBCNCH($G(DFN),$P($G(IBPPOL),"^",4),1)	D BLD^IBCNSP
6376	IBCNSP PATIENT POLICY COMMENTS VIEW	Pt Policy Comments	A	INTEGRATED BILLING	D EN^IBCNCH($G(DFN),$P($G(IBPPOL),"^",4),0)	
6377	IBCNCH COMMENT HISTORY VIEW	Pt Policy Comments	M	INTEGRATED BILLING		I $G(IBFASTXT)=1 S VALMBCK="Q"
6378	IBCNSP ADD GROUP COMMENT	Group Plan Comments	A	INTEGRATED BILLING	D GC^IBCNSP3	S VALMBG=$G(IB1ST("COMMENT"),1)
6379	IBCNCH COMMENT HISTORY EXPAND		M	INTEGRATED BILLING		
6380	IBCNCH EDIT COMMENT EXPAND	Edit Comment	A	INTEGRATED BILLING	D EDIT^IBCNCH($G(COMIEN))	
6381	IBCNCH DELETE COMMENT EXPAND	Delete Comment	A	INTEGRATED BILLING	D DELETE^IBCNCH($G(COMIEN))	
6382	IBCNCH SEARCH LIST EXPAND	Search List		INTEGRATED BILLING	D SEARCH^IBCNCH2($G(COMIEN))	
6383	IBCNCH COMMENT HISTORY SEARCH		M	INTEGRATED BILLING		I $G(IBFASTXT)=1 S VALMBCK="Q"
6384	IBCNCH SEARCH NEXT	Next Comment	A	INTEGRATED BILLING	D NEXTCOM^IBCNCH3	
6385	IBCNCH PREVIOUS COMMENT	Previous Comment	A	INTEGRATED BILLING	D PREVCOM^IBCNCH3	
6386	IBCNCH COMMENT HISTORY EXPAND VIEW		M	INTEGRATED BILLING		
6387	IBCNCH EXPAND COMMENT VIEW	Expand Entry	A	INTEGRATED BILLING	D EXPCOM^IBCNCH3(1)	
6388	IBJT PATIENT POLICY COMMENTS VIEW	Pt Policy Comments	A	INTEGRATED BILLING	D EN^IBCNCH($G(DFN),+$G(IBJPOL),0)	
