protocol_name	protocol_package	action_kind	callee_tag	callee_routine	call_kind	ref_count
BPS PRTCL REOPEN	E CLAIMS MGMT ENGINE	entry	SELECT	BPSREOP1	do	1
BPS PRTCL RSCH CLAIM TRACKING		entry	CT	BPSCT	do	1
BPS PRTCL RSCH ELIG INQ	E CLAIMS MGMT ENGINE	entry	RESED	BPSELG	do	1
BPS PRTCL RSCH GRPL		entry	FULL	VALM1	do	1
BPS PRTCL RSCH IB EVENT REPORT		entry	EVNT	BPSRSEV	do	1
BPS PRTCL RSCH ON HOLD COPAY		entry	OH	BPSRSHLD	do	1
BPS PRTCL RSCH RELEASE COPAY		entry	RH	BPSRSRLC	do	1
BPS PRTCL RSCH TPJI		entry	TPJI	BPSRSTPJ	do	1
BPS PRTCL RSCH VIEW ELIGIBILITY		entry	VE	BPSRSELG	do	1
BPS PRTCL RSCH VIEW INSURANCE		entry	VI	BPSRSINS	do	1
BPS PRTCL RSCH VIEW PRESCRIPTION		entry	VP	BPSRSPRS	do	1
BPS PRTCL UNSTRAND ALL		entry	ALL	BPSUSCR1	do	1
BPS PRTCL UNSTRAND EXIT		exit	EXIT	BPSUSCR	do	1
BPS PRTCL UNSTRAND PRINT		entry	PRINT	BPSUSCR1	do	1
BPS PRTCL UNSTRAND SELECT		entry	SELECT	BPSUSCR1	do	1
BPS PRTCL USRSCR CHANGE VIEW		entry	CV	BPSSCRCV	do	1
BPS PRTCL USRSCR CLAIM LOG		entry	LOG	BPSSCRLG	do	1
BPS PRTCL USRSCR CLOSE		entry	CLO	BPSSCRCL	do	1
BPS PRTCL USRSCR COMMENT		entry	CMT	BPSCMT	do	1
BPS PRTCL USRSCR CONTINUOUS		entry	CU	BPSSCRCU	do	1
BPS PRTCL USRSCR DEVELOPER LOG		entry	DV	BPSSCRDV	do	1
BPS PRTCL USRSCR OPECC REJECT INFORMATION	E CLAIMS MGMT ENGINE	entry	EN	BPSSCRRJ	do	1
BPS PRTCL USRSCR OPEN/CLOSE NON-BILLABLE ENTRY	E CLAIMS MGMT ENGINE	entry	OC	BPSSCRN0	do	1
BPS PRTCL USRSCR PHARM WRKLST	E CLAIMS MGMT ENGINE	entry	EN	BPSWRKLS	do	1
BPS PRTCL USRSCR REOPEN CLOSED CLAIMS		entry	EUSCREOP	BPSREOP1	do	1
BPS PRTCL USRSCR RESEARCH MENU		entry	RM	BPSRSM	do	1
BPS PRTCL USRSCR RESUB NO REVERSE	E CLAIMS MGMT ENGINE	entry	RESNRV	BPSSCRRS	do	1
