source_package	dest_package	call_edges	distinct_caller_routines	distinct_callee_routines
DRG Grouper	Registration	1	1	1
DRG Grouper	VA FileMan	317	159	19
DSS Extracts	CPT HCPCS Codes	13	9	3
DSS Extracts	DRG Grouper	5	5	1
DSS Extracts	DSS Extracts	855	161	122
DSS Extracts	Dietetics	1	1	1
DSS Extracts	Enrollment Application System	1	1	1
DSS Extracts	Event Capture	3	3	1
DSS Extracts	Inpatient Medications	6	6	3
DSS Extracts	Integrated Billing	2	2	2
DSS Extracts	Kernel	419	197	13
DSS Extracts	Lab Service	4	3	3
DSS Extracts	MailMan	24	21	5
DSS Extracts	Master Patient Index VistA	1	1	1
DSS Extracts	National Drug File	5	5	1
DSS Extracts	Outpatient Pharmacy	8	7	3
DSS Extracts	PCE Patient Care Encounter	2	2	1
DSS Extracts	Pharmacy Data Management	6	5	2
DSS Extracts	Quasar	1	1	1
DSS Extracts	Registration	52	31	13
DSS Extracts	Scheduling	7	4	2
DSS Extracts	VA FileMan	648	230	16
Dental	DRG Grouper	4	1	1
Dental	Dental	366	99	84
Dental	Health Level Seven	7	4	3
Dental	Kernel	85	45	9
Dental	Lexicon Utility	5	2	3
Dental	MailMan	9	9	1
Dental	Master Patient Index VistA	2	1	1
Dental	Order Entry Results Reporting	1	1	1
Dental	PCE Patient Care Encounter	5	4	1
Dental	Registration	41	28	5
Dental	Toolkit	8	4	2
Dental	VA Certified Components - DSSI	89	40	17
Dental	VA FileMan	258	100	18
Dietetics	Adverse Reaction Tracking	1	1	1
Dietetics	Dietetics	1269	301	203
Dietetics	General Medical Record - Vitals	5	5	1
Dietetics	Kernel	213	184	7
Dietetics	Lab Service	1	1	1
Dietetics	MailMan	3	3	1
Dietetics	National Drug File	1	1	1
Dietetics	Order Entry Results Reporting	6	5	3
Dietetics	Outpatient Pharmacy	2	1	2
Dietetics	Pharmacy Data Management	5	3	2
Dietetics	Problem List	1	1	1
Dietetics	Registration	10	8	7
Dietetics	Scheduling	1	1	1
Dietetics	Text Integration Utility	1	1	1
Dietetics	VA FileMan	652	273	19
Drug Accountability	Drug Accountability	314	95	92
Drug Accountability	IFCAP	46	22	1
Drug Accountability	Kernel	45	33	7
Drug Accountability	List Manager	14	5	3
Drug Accountability	MailMan	15	14	2
Drug Accountability	National Drug File	2	2	1
Drug Accountability	Pharmacy Data Management	2	1	1
Drug Accountability	Toolkit	2	1	2
Drug Accountability	VA FileMan	397	135	19
E Claims Management Engine	Adverse Reaction Tracking	1	1	1
E Claims Management Engine	CMOP	1	1	1
E Claims Management Engine	E Claims Management Engine	1302	161	151
E Claims Management Engine	General Medical Record - Vitals	1	1	1
E Claims Management Engine	Health Level Seven	10	6	5
E Claims Management Engine	Integrated Billing	56	35	18
E Claims Management Engine	Kernel	164	94	18
E Claims Management Engine	List Manager	82	44	4
E Claims Management Engine	MailMan	11	10	4
E Claims Management Engine	National Drug File	2	2	2
E Claims Management Engine	Outpatient Pharmacy	62	31	17
E Claims Management Engine	Pharmacy Data Management	4	3	2
E Claims Management Engine	Registration	16	15	3
E Claims Management Engine	Toolkit	2	1	1
E Claims Management Engine	VA FileMan	305	152	18
EEO Complaint Tracking	EEO Complaint Tracking	50	22	19
EEO Complaint Tracking	Kernel	4	4	1
EEO Complaint Tracking	MailMan	6	6	2
EEO Complaint Tracking	Quality Assurance Integration	1	1	1
EEO Complaint Tracking	VA FileMan	50	24	9
Electronic Health Modernization	Electronic Health Modernization	108	11	7
