routine_name	package	source_path	line_count	byte_size	tag_count	comment_line_count	version_line	is_percent_routine	in_file_9_8	file_9_8_type	rpc_count	option_count	protocol_invoked_count	out_degree	in_degree	out_calls_total	in_calls_total	distinct_globals_touched	global_ref_total
DVBCWAM2	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWAM2.m	28	981	4	3	;;2.7;AMIE;**183**;Apr 10, 1995;Build 8	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWAM3	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWAM3.m	111	5461	2	109	;;2.7;AMIE;**183**;Apr 10, 1995;Build 8	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWAR	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWAR.m	28	1005	4	3	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWAR1	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWAR1.m	155	5648	2	153	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWAU	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWAU.m	28	951	4	3	;;2.7;AMIE;**26**;Apr 10, 1995	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWAU1	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWAU1.m	112	5667	2	110	;;2.7;AMIE;**26**;Apr 10, 1995	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWAU2	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWAU2.m	28	951	4	3	;;2.7;AMIE;**64**;FEB 2,2004	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWAU3	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWAU3.m	120	6123	2	118	;;2.7;AMIE;**64**;FEB 2,2004	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWAU4	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWAU4.m	28	963	4	3	;;2.7;AMIE;**118**;FEB 2,2004;Build 3	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWAU5	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWAU5.m	116	5978	2	114	;;2.7;AMIE;**118**;FEB 2,2004;Build 3	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWAU6	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWAU6.m	28	962	4	3	;;2.7;AMIE;**128**;FEB 2,2004;Build 5	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWAU7	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWAU7.m	141	7232	2	139	;;2.7;AMIE;**128**;FEB 2,2004;Build 5	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWAU8	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWAU8.m	28	962	4	3	;;2.7;AMIE;**135**;FEB 2,2004;Build 6	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWAU9	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWAU9.m	141	7347	2	139	;;2.7;AMIE;**135**;FEB 2,2004;Build 6	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWAUA	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWAUA.m	28	965	4	3	;;2.7;AMIE;**150**;Apr 10, 1995;Build 13	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWAUB	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWAUB.m	193	10217	2	191	;;2.7;AMIE;**150**;Apr 10, 1995;Build 13	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWAV	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWAV.m	28	988	4	3	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWAV1	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWAV1.m	120	2967	2	118	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWAW	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWAW.m	28	967	4	3	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWAW1	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWAW1.m	50	1257	2	48	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWB	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWB.m	28	1005	4	3	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWB1	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWB1.m	131	4397	2	129	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWB2	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWB2.m	28	1010	4	3	;;2.7;AMIE;**121**;Apr 10, 1995;Build 9	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWB3	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWB3.m	88	4067	2	86	;;2.7;AMIE;**121**;Apr 10, 1995;Build 9	N	Y	R	0	0	0	0	0	0	0	0	0
