caller_routine	caller_package	callee_tag	callee_routine	kind	ref_count
DGX58	Registration	Z	DIE2	goto	1
DGX59	Registration		DGX510	goto	1
DGX59	Registration		DIE17	goto	1
DGX59	Registration	AST	DIED	goto	1
DGX59	Registration	CREF	DILF	func	5
DGX59	Registration	E	DIE0	do	1
DGX59	Registration	EZBLD	DIALOG	func	1
DGX59	Registration	F	DIE17	do	36
DGX59	Registration	FIREREC	DIE17	do	30
DGX59	Registration	GETAPI	DGICDGT	do	5
DGX59	Registration	LABEL	DIALOGZ	func	10
DGX59	Registration	M	DIE17	goto	1
DGX59	Registration	NOSCR	DIED	do	1
DGX59	Registration	OREF	DILF	func	5
DGX59	Registration	OUT	DIE17	goto	30
DGX59	Registration	POA501	DGPTFUT1	func	5
DGX59	Registration	RW	DIR2	goto	1
DGX59	Registration	SET	DIED	do	1
DGX59	Registration	SET	DIQ	func	1
DGX59	Registration	UNIQFERR	DIE17	goto	1
DGX59	Registration	Z	DIE17	goto	1
DGX59	Registration	Z	DIE2	goto	1
DGX5F	Registration		DIE17	goto	1
DGX5F	Registration	AST	DIED	goto	1
DGX5F	Registration	CENSUS	DGPTIC10	do	1
DGX5F	Registration	CODESYS	DGPTIC10	func	1
DGX5F	Registration	E	DIE0	do	2
DGX5F	Registration	EZBLD	DIALOG	func	2
DGX5F	Registration	F	DIE17	do	11
DGX5F	Registration	FIREREC	DIE17	do	11
DGX5F	Registration	GETTMP	DIKC1	func	1
DGX5F	Registration	LABEL	DIALOGZ	func	1
DGX5F	Registration	M	DIE17	goto	1
DGX5F	Registration	N	DIE17	goto	1
DGX5F	Registration	NOSCR	DIED	do	1
DGX5F	Registration	OUT	DIE17	goto	11
DGX5F	Registration	RW	DIR2	goto	1
DGX5F	Registration	SET	DIED	do	1
DGX5F	Registration	SET	DIQ	func	1
DGX5F	Registration	UNIQFERR	DIE17	goto	1
DGX5F	Registration	Z	DIE17	goto	1
DGX5F	Registration	Z	DIE2	goto	1
DGX5F1	Registration		%DT	do	1
DGX5F1	Registration		DGX5F2	goto	1
DGX5F1	Registration		DIC	do	1
DGX5F1	Registration		DICR	do	7
DGX5F1	Registration		DIE17	goto	1
DGX5F1	Registration	AST	DIED	goto	1
DGX5F1	Registration	CREF	DILF	func	4
DGX5F1	Registration	E	DIE0	do	2
DGX5F1	Registration	EZBLD	DIALOG	func	1
DGX5F1	Registration	F	DIE17	do	34
DGX5F1	Registration	FIREREC	DIE17	do	28
