package	routine_count	total_lines	files_shipped	p_files	i_files	k_files	s_files	rpc_routines	option_routines	distinct_globals_touched	outbound_edges	outbound_cross_pkg
Engineering	419	29332	60	1	49	5	5	0	125	26	2336	1194
Enrollment Application System	195	22863	15	5	10	0	0	1	12	22	1400	830
Enterprise Health Management Platform	128	18191	10	6	1	0	3	27	3	49	1250	621
Enterprise Support Solution	2	405	1	1	0	0	0	0	1	6	11	10
Enterprise Terminology Services	10	2070	10	0	2	7	1	0	0	4	44	22
Equipment Turn-In Request	61	3260	7	0	7	0	0	0	27	12	220	126
Event Capture	353	39018	10	9	1	0	0	13	32	26	2354	1439
Event Driven Reporting	8	267	0	0	0	0	0	0	1	8	11	6
Ext Rev Track	64	2470	0	0	0	0	0	0	0	8	146	56
Fee Basis	469	42871	50	44	6	0	0	0	171	35	3712	1736
Foundations	8	1155	1	0	1	0	0	0	0	7	69	52
Functional Independence	7	709	2	1	1	0	0	2	2	12	44	37
General Medical Record - Generator	44	1847	4	4	0	0	0	0	1	8	189	65
General Medical Record - IO	49	1956	11	11	0	0	0	0	4	11	314	97
General Medical Record - Vitals	286	16637	6	6	0	0	0	20	9	20	1227	573
Generic Code Sheet	50	2877	9	0	4	5	0	0	13	10	238	85
Graphics	29	1390	0	0	0	0	0	0	0	10	139	107
HINQ	136	11510	8	7	0	0	1	4	8	19	803	601
Health Data and Informatics	71	9438	10	0	6	1	3	0	2	11	382	190
Health Level Seven	268	42227	39	0	6	0	33	0	29	29	2021	788
Health Summary	294	27226	5	0	3	1	1	0	15	51	1628	827
HealtheVet Desktop	13	1150	0	0	0	0	0	9	0	8	67	51
Hines OIFO	38	4231	0	0	0	0	0	0	0	15	276	53
Hospital Based Home Care	81	5501	22	10	5	2	5	0	43	15	524	206
Houston VAMC	23	1947	8	0	0	0	8	0	6	14	91	34
IFCAP	1640	118642	137	3	134	0	0	4	318	43	12324	5185
Imaging	576	85414	165	130	35	0	0	209	54	50	3698	1665
Incident Reporting	4	136	0	0	0	0	0	0	0	4	10	9
Income Verification Match	197	22590	12	9	1	0	2	0	14	30	1399	916
Incomplete Records Tracking	78	5029	5	1	2	2	0	0	7	16	657	513
Inpatient Medications	581	56380	25	1	3	21	0	0	62	30	5469	1931
Insurance Capture Buffer	41	5467	5	4	1	0	0	27	3	16	252	188
Integrated Billing	2452	296981	224	203	18	2	1	16	274	89	20748	11142
Integrated Patient Fund	46	2758	8	1	7	0	0	2	20	12	267	95
Interim Management Support	49	1305	4	1	1	0	2	0	37	20	154	99
Joint Legacy Viewer	1	13	0	0	0	0	0	0	0	0	2	2
Kernel	942	90911	77	1	25	7	44	19	144	70	5311	1741
Lab Service	1369	121204	79	9	22	45	3	0	366	54	9701	3963
Lexicon Utility	539	83383	29	1	0	28	0	0	19	27	3752	2386
Library	1	84	0	0	0	0	0	0	0	2	9	8
Lighthouse	1	38	0	0	0	0	0	1	0	0	1	1
List Manager	48	3064	1	1	0	0	0	0	0	13	219	117
M XML Parser	6	998	0	0	0	0	0	0	0	2	36	5
MASH Utilities	13	2540	0	0	0	0	0	0	0	2	9	7
MCCR Backbilling	2	92	0	0	0	0	0	0	0	10	9	8
MailMan	253	26955	18	0	7	0	11	0	57	24	2480	817
Master Patient Index VistA	72	8130	4	2	0	0	2	11	4	17	819	564
Medical Health E-Screening	1	48	0	0	0	0	0	0	0	0	3	3
Medicine	361	23652	71	39	19	3	10	0	28	32	1509	790
Mental Health	642	56471	73	58	4	3	8	43	39	35	2500	1324
Methicillin Resistant Staph Aurerus Initiative Reports	16	3397	4	1	1	1	1	0	7	11	137	100
Micom	11	143	7	0	0	1	6	0	0	4	28	16
Mobile Mental Health Program	1	33	0	0	0	0	0	0	0	0	2	2
Mobile Scheduling Applications Suite	29	4192	0	0	0	0	0	7	0	11	196	88
My HealtheVet	98	12001	7	3	0	0	4	2	8	24	600	284
NDBI	3	211	0	0	0	0	0	0	0	5	13	8
National Drug File	139	11752	21	0	1	20	0	1	39	21	707	440
National Health Information Network	20	2551	0	0	0	0	0	1	0	12	177	124
National Laboratory Test	4	174	0	0	0	0	0	0	0	6	7	7
National Online Information Sharing	217	13616	0	0	0	0	0	1	1	13	1046	301
National VistA Support	2	266	0	0	0	0	0	0	0	5	6	6
Network Health Exchange	19	1200	4	1	2	1	0	0	5	9	106	88
New Mexico HCS	1	23	0	0	0	0	0	0	0	2	3	1
Nursing Service	922	76940	32	24	4	3	1	0	71	23	2064	669
ODS	30	1548	9	1	8	0	0	0	9	19	136	87
Occurrence Screen	90	4884	14	1	2	0	11	0	32	17	464	324
Old DMMS	21	765	0	0	0	0	0	0	11	8	45	16
Oncology	496	55281	66	1	3	62	0	1	28	28	2373	978
Order Entry Results Reporting	1394	189083	64	14	9	36	5	185	69	81	9512	4637
Outpatient Pharmacy	905	119531	39	15	5	17	2	13	135	57	10040	4844
PAID	462	43339	43	0	43	0	0	2	138	20	2786	1036
PCE Patient Care Encounter	475	55682	47	17	20	9	1	11	32	73	3061	1456
Palo Alto HCS	10	1148	0	0	0	0	0	0	0	15	79	73
Patient Assessment Documentation	8	1607	14	12	2	0	0	3	1	14	60	52
Patient Data Exchange	188	16372	18	11	5	0	2	0	7	21	871	275
Patient Representative	1	119	0	0	0	0	0	0	0	2	10	9
Pharmacy Benefits Management	121	14288	1	1	0	0	0	0	4	35	549	224
Pharmacy Data Management	381	42257	28	4	1	21	2	3	52	32	2097	1180
Pharmacy Prescription Practice	1	79	0	0	0	0	0	0	0	2	9	8
Phoenix VAMC	12	1415	0	0	0	0	0	0	0	38	38	32
Police and Security	106	5733	18	5	5	5	3	0	32	11	413	248
Problem List	94	10514	7	5	2	0	0	0	13	26	754	427
Progress Notes	8	248	0	0	0	0	0	0	0	3	7	7
Prosthetics	488	47943	38	4	34	0	0	38	101	28	3418	1731
Providence VAMC	5	507	0	0	0	0	0	0	0	17	35	34
Quality Assurance Integration	22	1174	3	0	1	0	2	0	2	7	65	41
Quasar	110	13937	10	3	3	3	1	4	19	18	935	551
RPC Broker	40	5230	2	0	1	0	1	8	2	11	308	108
Radiology Nuclear Medicine	515	55638	40	35	4	0	1	2	100	41	4303	2038
Real Time Location System	12	1172	0	0	0	0	0	10	1	9	32	30
Record Tracking	154	8189	14	1	5	0	8	0	0	23	1189	545
Registration	2179	217940	153	69	47	0	37	22	215	106	15594	8869
Release Of Information	29	5761	28	17	11	0	0	23	1	8	207	132
Remote Order Entry System	140	8332	14	1	13	0	0	1	25	12	657	201
Richmond VAMC	2	106	0	0	0	0	0	0	0	0	4	0
Run Time Library	30	2462	0	0	0	0	0	0	0	12	147	72
Salt Lake OIFO	5	375	0	0	0	0	0	0	0	9	26	24
Scheduling	1802	220163	99	67	25	2	5	261	218	95	14069	6894
Screen Handler for Fileman	20	741	2	0	0	0	2	0	1	9	119	28
Shift Handoff Tool	19	2102	4	1	0	0	3	16	0	11	146	107
Silver Sprint OIFO Applications	6	337	1	0	0	0	1	0	0	10	19	11
Social Work	1	84	0	0	0	0	0	0	0	2	9	8
Spinal Cord Dysfunction	4	172	0	0	0	0	0	0	0	5	7	4
Suicide Hotline	4	235	0	0	0	0	0	0	0	7	32	13
Surgery	693	37602	40	37	2	0	1	0	134	39	4404	1878
Survey Generator	39	1611	4	0	1	0	3	0	17	8	215	108
Text Integration Utility	548	58846	34	24	10	0	0	26	34	49	5220	2075
Toolkit	286	28542	25	1	4	0	20	7	68	35	1671	742
Uncategorized	702	40920	4	0	0	0	4	6	60	151	2303	1387
Utilization Management Rollup	39	2169	1	1	0	0	0	0	7	13	179	77
Utilization Review	38	1729	2	1	1	0	0	0	0	8	292	262
VA Certified Components - DSSI	66	8276	0	0	0	0	0	31	0	14	406	239
VA FileMan	864	95532	45	0	0	0	25	5	31	39	4595	131
VA Point of Service	48	8503	9	2	7	0	0	22	0	15	436	197
VA-DOD Sharing	0	0	1	0	0	0	1	0	0	0	0	0
VBECS	63	7629	7	7	0	0	0	10	11	20	406	246
VDEF	12	1300	7	5	0	1	1	0	2	4	95	51
VPE Shell	339	27782	5	0	0	0	5	0	0	21	1039	133
Vendor - Audiofax Inc	1	177	0	0	0	0	0	0	0	6	15	14
Vendor - Document Storage Systems	128	12324	0	0	0	0	0	62	1	76	656	518
Vendor - ISI	61	7615	4	0	2	1	1	11	1	34	337	250
Vendor - Pioneer	30	1129	0	0	0	0	0	0	0	6	13	1
Veterans Data Integration and Federation	1	55	0	0	0	0	0	0	0	0	6	6
Virtual Patient Record	104	13320	2	2	0	0	0	3	8	37	1059	665
VistA Integration Adapter	16	2778	0	0	0	0	0	9	0	19	129	109
VistA Web	1	71	0	0	0	0	0	0	0	0	4	4
VistALink	18	2460	3	0	1	1	1	3	0	5	153	72
VistALink Security	7	1118	0	0	0	0	0	0	0	7	96	64
Visual Impairment Service Team	32	1964	12	3	4	3	2	3	17	9	179	119
Voluntary Timekeeping	1	105	0	0	0	0	0	0	0	2	11	10
WEBVRAM	7	575	0	0	0	0	0	2	0	2	20	20
Washington VAMC	2	118	0	0	0	0	0	0	0	9	10	7
Web Services Client	19	3317	3	0	1	0	2	0	0	6	159	120
West Palm Beach VAMC	21	2448	5	3	2	0	0	3	3	21	107	75
Womens Health	128	15967	25	18	7	0	0	5	33	19	1117	418
Wounded Injured and Ill Warriors	10	708	2	2	0	0	0	1	2	5	56	54
