routine_name	tag	data
ACKQCDR	LD	
ACKQCDR	LM	
ACKQCDR	MONTH	
ACKQCDR	OK	
ACKQCDR	OK2	
ACKQCDR	OPTN	
ACKQCDR	PASS	
ACKQCDR	RANGE	
ACKQCDR	SAVE	
ACKQCDR	SAVE2	
ACKQCDR	SITE	
ACKQCDR	SPREAD	
ACKQCDR	YNFLAT	
ACKQCDR	YNFLAT2	
ACKQCDRP	ACKQCDRP	
ACKQCDRP	CDR	
ACKQCDRP	CHKDIV	
ACKQCDRP	CHKSITE	
ACKQCDRP	COMPD	
ACKQCDRP	COMPS	
ACKQCDRP	DATHLP	
ACKQCDRP	DEV	
ACKQCDRP	DHD	
ACKQCDRP	DIVCDR	
ACKQCDRP	DQ	
ACKQCDRP	EXIT	
ACKQCDRP	GDT1	
ACKQCDRP	GETDT	
ACKQCDRP	HD4	
ACKQCDRP	LINE	
ACKQCDRP	LM	
ACKQCDRP	OPTN	
ACKQCDRP	PRINT	
ACKQCDRP	SITECDR	
ACKQCLED	ACKQCLED	
ACKQCLED	ADDSTF	
ACKQCLED	EDTSTF	
ACKQCLED	EN	
ACKQCLED	EX	
ACKQCLED	NMVD	
ACKQCLED	PCCHK	
ACKQCLED	SRCH	
ACKQCLED	USRCHK	
ACKQCP	ACKQCP	
ACKQCP	ADEQ	
ACKQCP	ADEQWN	
ACKQCP	ADEX	
ACKQCP	DEV	
ACKQCP	GETCODE	
ACKQCP	HDR	
ACKQCP	NOSIG	
ACKQCP	OPTN	
ACKQCP	PRINT	
ACKQCP	SHO1	
ACKQCP	SHOW	
ACKQCP	SIG	
ACKQCP	SIGEX	
ACKQCP	UNLOCK	
ACKQCP1	ACKQCP1	
ACKQCP1	CP	
ACKQCP1	F100	
ACKQCP1	F101	
ACKQCP1	F102	
ACKQCP1	F103	
ACKQCP1	F104	
ACKQCP1	FLD	
ACKQCP1	J	
ACKQCP1	PULL	
ACKQCP1	PULL2	
ACKQCPL	ACKQCPL	
ACKQCPL	BUILD	
ACKQCPL	CHOICE	
ACKQCPL	CHOICE1	
ACKQCPL	EXIT	
ACKQCPL	HEAD	
ACKQCPL	SET	
ACKQDWB	ABORT	
ACKQDWB	ACKQDWB	
ACKQDWB	BUILD	
ACKQDWB	DIV	
ACKQDWB	DIV1	
ACKQDWB	DIVLN	
ACKQDWB	STAFF	
ACKQDWL	ACKQDWL	
ACKQDWL	BEGIN	
ACKQDWL	BKG	
ACKQDWL	DATHLP	
ACKQDWL	DIV	
ACKQDWL	DQ	
ACKQDWL	END	
ACKQDWL	EXIT	
ACKQDWL	GDT1	
ACKQDWL	GETDT	
ACKQDWL	INIT	
ACKQDWL	LM	
ACKQDWL	OPTN	
ACKQDWL1	ACKQDWL1	
ACKQDWL1	FYSTATS	
ACKQDWL1	MONTH	
ACKQDWL1	STUFF	
ACKQDWL1	ZIP	
ACKQDWLP	ACKQDWLP	
ACKQDWLP	COMPILE	
ACKQDWLP	CPT	
ACKQDWLP	CPTSTAT	
ACKQDWLP	DEV	
ACKQDWLP	DHD	
ACKQDWLP	DIV	
ACKQDWLP	DQ	
ACKQDWLP	EC	
ACKQDWLP	EXIT	
ACKQDWLP	HD1	
ACKQDWLP	HD2	
ACKQDWLP	HD3	
ACKQDWLP	HD4	
ACKQDWLP	ICD	
ACKQDWLP	ICDSTAT	
ACKQDWLP	LINE	
ACKQDWLP	OPTN	
ACKQDWLP	PRINT	
ACKQDWLP	ZIP	
ACKQDWLP	ZIPSTAT	
ACKQDWLR	ACKQDWLR	
ACKQDWLR	HEADER	
ACKQDWLR	ICDCPTHD	
ACKQDWLR	LINE	
ACKQDWLR	SUMCPT	
ACKQDWLR	SUMEC	
ACKQDWLR	SUMICD	
ACKQDWLR	SUMZIP	
ACKQDWLR	ZIPHD	
ACKQDWLU	ACKQDWLU	
ACKQDWLU	CLEAN	
ACKQDWLU	CREATE	
ACKQDWLU	CREATE1	
ACKQDWLU	DISPLAY	
ACKQDWLU	ECSTAT	
ACKQDWLU	MDL	
ACKQDWLU	STAQES	
ACKQDWLU	STAQES1	
ACKQDWLU	STF	
ACKQDWLU	WLSTADIV	
ACKQDWLU	WLSTATUS	
ACKQENV	ACKQENV	
ACKQENV	T	
ACKQFIL	ACCESS	
ACKQFIL	ACKQFIL	
ACKQFIL	ACTION	
ACKQFIL	CHANGE	
ACKQFIL	EXIT	
ACKQFIL	FILE	
ACKQFIL	INACT	
ACKQFIL	KVAR	
ACKQFIL	OPTN	
ACKQFIL	SURE	
ACKQFIL	WARN	
ACKQFIL1	ACKQFIL1	
ACKQFIL1	ADD	
ACKQFIL1	CDR	
ACKQFIL1	CHECK	
ACKQFIL1	CKCDR	
ACKQFIL1	CKCPT	
ACKQFIL1	CKICD	
ACKQFIL1	CPT	
ACKQFIL1	DIK	
ACKQFIL1	ICD	
ACKQFIL1	KVAR	
ACKQFIL1	MOD	
ACKQFIL1	ORIG	
ACKQFIL1	RESET	
ACKQFIL1	SUBFL	
ACKQFIL1	UNLK	
ACKQFILP	ACKQFILP	
ACKQFILP	CLOSE	
ACKQFILP	DIP	
ACKQFILP	EXIT	
ACKQFILP	FILE	
ACKQFILP	OPTN	
ACKQFILP	ZIS	
ACKQHLP	1	
ACKQHLP	2	
ACKQHLP	3	
ACKQHLP	4	
ACKQHLP	6	
ACKQHLP	ACKQHLP	
ACKQHLP	CPTEXT	
ACKQHLP	DDHLP	
ACKQHLP	DDHLP1	
ACKQHLP	PROC	
ACKQHLP	RESOLV	
ACKQHLP1	ACKQHLP1	
ACKQHLP1	ACTION	
ACKQHLP1	CHANGE	
ACKQHLP1	CHOOSE	
ACKQHLP1	FILE	
ACKQHLP1	HRLOS	
ACKQHLP1	MOD	
ACKQHLP1	PRINT	
ACKQHLP1	REGEN	
ACKQHLP1	SURE	
ACKQHLP1	UPDATE	
ACKQIPRE	ACKQIPRE	
ACKQIPRE	KILLDD	
ACKQIPRE	MGRP	
ACKQIPRE	OPTN	
ACKQIPRE	TEXT	
ACKQIPRE	TMPL	
ACKQIPRE	V	
ACKQIPS1	ACKQIPS1	
ACKQIPS1	EXIT	
ACKQIPS1	STAFF	
ACKQIPST	ACKQIPST	
ACKQIPST	MAIN	
ACKQIPST	OPTN	
ACKQIPST	PARAMSC	
ACKQIPST	PARAMSD	
ACKQIPST	REPORT	
ACKQITMP	ABORT	
ACKQITMP	ACKQITMP	
ACKQITMP	V	
ACKQNQ	ACKQNQ	
ACKQNQ	ASK	
ACKQNQ	CLASDIS	
ACKQNQ	DEV	
ACKQNQ	DIAGHIST	
ACKQNQ	DIC	
ACKQNQ	DIHEAD	
ACKQNQ	EN	
ACKQNQ	EN1	
ACKQNQ	EXIT	
ACKQNQ	ICDSORT	
ACKQNQ	INP	
ACKQNQ	OPTN	
ACKQNQ	PAGE	
ACKQNQ	PRINT	
ACKQNQ	PRTHEAD	
ACKQNQ	RATDIS	
ACKQNQ	UPDATE	
ACKQNTEG	ACKQAS	
ACKQNTEG	ACKQAS1	
ACKQNTEG	ACKQAS2	
ACKQNTEG	ACKQAS3	
ACKQNTEG	ACKQCD1	
ACKQNTEG	ACKQCD2	
ACKQNTEG	ACKQCD3	
ACKQNTEG	ACKQCDR	
ACKQNTEG	ACKQCP	
ACKQNTEG	ACKQCP1	
ACKQNTEG	ACKQCPL	
ACKQNTEG	ACKQFIL	
ACKQNTEG	ACKQFIL1	
ACKQNTEG	ACKQFILP	
ACKQNTEG	ACKQHLP	
ACKQNTEG	ACKQHLP1	
ACKQNTEG	ACKQIPRE	
ACKQNTEG	ACKQIPST	
ACKQNTEG	ACKQNQ	
ACKQNTEG	ACKQNTEG	
ACKQNTEG	ACKQR1	
ACKQNTEG	ACKQR2	
ACKQNTEG	ACKQR3	
ACKQNTEG	ACKQR4	
ACKQNTEG	ACKQRU	
ACKQNTEG	ACKQUTL	
ACKQNTEG	ACKQWB	
ACKQNTEG	ACKQWL	
ACKQNTEG	ACKQWL1	
ACKQNTEG	ACKQWLD	
ACKQNTEG	CONT	
ACKQNTEG	ONE	
ACKQNTEG	ROU	
ACKQPCE	ACKQPCE	
ACKQPCE	CLEAR	
ACKQPCE	FILERSN	
ACKQPCE	KILLPCE	
ACKQPCE	PKG	
ACKQPCE	SENDPCE	
ACKQPCE	SRC	
ACKQPCE1	ACKQPCE1	
ACKQPCE1	BUILD	
ACKQPCE1	CHKPCE	
ACKQPCE1	GETDATA	
ACKQPCE1	SENDIT	
ACKQPCE1	SENDPCE	
ACKQPCE1	SENDPCEX	
ACKQPCE2	ACKQPCE2	
ACKQPCE2	ADDRSN	
ACKQPCE2	CLINIC	
ACKQPCE2	CONVERT	
ACKQPCE2	CPTNAME	
ACKQPCE2	DATETIME	
ACKQPCE2	ERROR1	
ACKQPCE2	ICDNAME	
ACKQPCE2	PATIENT	
ACKQPCE2	PRVNAME	
ACKQPCE3	ACKQPCE3	
ACKQPCE3	KILLPCE	
ACKQPCE3	KILLPCEX	
ACKQPCX	ACKQPCX	
ACKQPCX	DATES	
ACKQPCX	DEV	
ACKQPCX	DIVNAME	
ACKQPCX	DQ	
ACKQPCX	EXIT	
ACKQPCX	HDR	
ACKQPCX	OK2	
ACKQPCX	OPTN	
ACKQPCX	PRINT	
ACKQPCX	PRINT2	
ACKQPCX	PRINTV	
ACKQPCX	SORT	
ACKQPCX	T	
ACKQPCX	V3DATE	
ACKQPOST	ACKQPOST	
ACKQPOST	MAIL	
ACKQPOST	OPTN	
ACKQR1	ACKQR1	
ACKQR1	CLINICNM	
ACKQR1	DEV	
ACKQR1	DIVNAME	
ACKQR1	DQ	
ACKQR1	EXIT	
ACKQR1	HDR	
ACKQR1	OPTN	
ACKQR1	PRINT	
ACKQR1	PRINT2	
ACKQR1	SCTOTS	
ACKQR1	STATEABR	
ACKQR1	STORE	
ACKQR1	TOTALS	
ACKQR1	TOTLHD	
ACKQR2	ACKQR2	
ACKQR2	CPTDESC	
ACKQR2	DEV	
ACKQR2	DIVNAME	
ACKQR2	DQ	
ACKQR2	EXIT	
ACKQR2	GETCPT	
ACKQR2	HDR	
ACKQR2	OPTN	
ACKQR2	PRINT	
ACKQR2	PRINT2	
ACKQR2	STAFFNM	
ACKQR2	STORE	
ACKQR2	SUMHD	
ACKQR2	SUMM	
ACKQR2	TOTALS	
ACKQR2	TOTLHD	
ACKQR3	ACKQR3	
ACKQR3	BRKDESC	
ACKQR3	DATE	
ACKQR3	DEV	
ACKQR3	DIVNAME	
ACKQR3	DQ	
ACKQR3	EXIT	
ACKQR3	GETDIAG	
ACKQR3	HDR	
ACKQR3	ICD10PRT	
ACKQR3	ICD9PRT	
ACKQR3	ICDDESC	
ACKQR3	OPTN	
ACKQR3	PRINT	
ACKQR3	PRINT2	
ACKQR3	PRTDTSPN	
ACKQR3	STAFFNM	
ACKQR3	STORE	
ACKQR3	SUMHD	
ACKQR3	SUMM	
ACKQR3	TOTALS	
ACKQR3	TOTLHD	
ACKQR4	ACKQR4	
ACKQR4	DEV	
ACKQR4	DHD	
ACKQR4	DIVNAME	
ACKQR4	DQ	
ACKQR4	EXIT	
ACKQR4	OPTN	
ACKQR4	PRINT	
ACKQR4	PRINT2	
ACKQR4	SORT	
ACKQR4	TOTALS	
ACKQR5	ACKQR5	
ACKQR5	DEV	
ACKQR5	DIVNAME	
ACKQR5	DQ	
ACKQR5	ECDESC	
ACKQR5	EXIT	
ACKQR5	GETEC	
ACKQR5	HDR	
ACKQR5	OPTN	
ACKQR5	PRINT	
ACKQR5	PRINT2	
ACKQR5	STAFFNM	
ACKQR5	STORE	
ACKQR5	SUMHD	
ACKQR5	SUMM	
ACKQR5	TOTALS	
ACKQR5	TOTLHD	
ACKQRU	ACKQRU	
ACKQRU	BEGDT	
ACKQRU	DTRANGE	
ACKQRU	ENDDT	
ACKQRU	GETDIV	
ACKQRU	PARAMS	
ACKQRU	STOPNM	
ACKQRU	STOPSORT	
ACKQRU	UP	
ACKQSEL	ACKQSEL	
ACKQSEL	SELECT	
ACKQSEL	SELECT2	
ACKQSEL	SELECT3	
ACKQSEL	SELECTX	
ACKQSEL	SELHELP	
ACKQSEL	SELHELP2	
ACKQSEL	UP	
ACKQUT1	ACKCPT	
ACKQUT1	ACKICD	
ACKQUT1	ACKQUT1	
ACKQUT1	CPT	
ACKQUT1	ICD	
ACKQUTL	ACKQUTL	
ACKQUTL	ADDPROV	
ACKQUTL	ASKYN	
ACKQUTL	BFY	
ACKQUTL	CNTR	
ACKQUTL	FTIME	
ACKQUTL	HTIM	
ACKQUTL	INTRO	
ACKQUTL	IVD	
ACKQUTL	LOWC	
ACKQUTL	MIXC	
ACKQUTL	NUMDT	
ACKQUTL	PAD	
ACKQUTL	PAUSE	
ACKQUTL	SSN	
ACKQUTL	STACT	
ACKQUTL	TRIGCP	
ACKQUTL	UPC	
ACKQUTL	V	
ACKQUTL	XDAT	
ACKQUTL	YN	
ACKQUTL1	ACKQUTL1	
ACKQUTL1	EVENT	
ACKQUTL2	ACKQUTL2	
ACKQUTL2	ASPCLN	
