routine_name	package	source_path	line_count	byte_size	first_line_comment	version_line	tag_count	comment_line_count	is_percent_routine
A1AXAPRD	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXAPRD.m	47	2494	A1AXAPRD ;SLL/ALB ISC; Action Plan RD Approved/Disapproved Triggered Message;12/30/87	;;VERSION 1.0	8	2	N
A1AXCAT	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXCAT.m	41	1816	A1AXCAT ;SLL/ALB ISC; RD RECOMMEND CATEGORY STATISTICS; 3/23/88	;;VERSION 1.0	10	2	N
A1AXCAT1	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXCAT1.m	21	913	A1AXCAT1 ;SLL/ALB ISC; RD RECOMMEND CATEGORY STATISTICS; 3/23/88	;;VERSION 1.0	4	1	N
A1AXCAT2	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXCAT2.m	54	2406	A1AXCAT2 ;SLL/ALB ISC; RD RECOMMEND CATEGORY STATISTICS; 3/23/88	;;VERSION 1.0	10	2	N
A1AXCN	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXCN.m	33	1801	A1AXCN ;SLL/ALB ISC; JCAHO CONTINGENCY RPT; 12/30/87	;;VERSION 1.0	8	3	N
A1AXCNFC	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXCNFC.m	15	992	A1AXCNFC ;SLL/ALB ISC; JCAHO CONTINGENCY REPORT FACILITY STAT; 12/30/87	;;VERSION 1.0	2	5	N
A1AXCNP1	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXCNP1.m	19	862	A1AXCNP1 ;SLL/ALB ISC; JCAHO CONTINGENCY REPORT PRINT PROCESSING; 12/1/87	;;VERSION 1.0	3	2	N
A1AXCNP2	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXCNP2.m	58	3535	A1AXCNP2 ;SLL/ALB ISC; JCAHO CONTINGENCY REPORT PRINT PROCESSING; 12/1/87	;;VERSION 1.0	15	6	N
A1AXCNRK	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXCNRK.m	25	957	A1AXCNRK ;SLL/ALB ISC; JCAHO CONTINGENCY REPORT RANKING; 12/30/87	;;VERSION 1.0	6	4	N
A1AXCNSM	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXCNSM.m	17	1011	A1AXCNSM ;SLL/ALB ISC; JCAHO CONTINGENCY REPORT SUM DATA; 12/30/88	;;VERSION 1.0	4	2	N
A1AXCNST	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXCNST.m	62	2924	A1AXCNST ;SLL/ALB ISC; JCAHO CONTINGENCY REPORT SET DATA; 12/30/87	;;VERSION 1.0	16	2	N
A1AXCRRD	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXCRRD.m	30	1558	A1AXCRRD ;SLL/ALB ISC; CONTINGENCY REMOVED TRIGGERED MSG FOR RD; 12/30/87	;;VERSION 1.0	4	4	N
A1AXCRST	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXCRST.m	12	565	A1AXCRST ;SLL/ALB ISC; CONTINGENCY REMOVED TRIGGERED MSG FOR FACILITY; 12/30/87	;;VERSION 1.0	2	2	N
A1AXCTS	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXCTS.m	34	1276	A1AXCTS ;SLL/ALB ISC; FACILITY CATEGORY STATISTICS; 3/23/88	;;VERSION 1.0	8	2	N
A1AXCTS1	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXCTS1.m	23	943	A1AXCTS1 ;SLL/ALB ISC; FACILITY CATEGORY STATISTICS; 3/23/88	;;VERSION 1.0	4	2	N
A1AXCTS2	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXCTS2.m	53	2237	A1AXCTS2 ;SLL/ALB ISC; FACILITY RECOMMEND CATEGORY STATISTICS; 3/23/88	;;VERSION 1.0	10	2	N
A1AXED	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXED.m	54	2295	A1AXED ;SLL/ALB ISC; ALTERNATIVE ENTER/EDIT ROUTINE; 1/15/88	;;VERSION 1.0	13	6	N
A1AXEDAC	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXEDAC.m	48	1628	A1AXEDAC ;SLL/ALB ISC; Quick Access to Action Plan Fields Only; 1/6/87	;;VERSION 1.0	13	6	N
A1AXEDAP	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXEDAP.m	48	1592	A1AXEDAP ;SLL/ALB ISC; Quick Access to Appeal Fields Only; 1/6/87	;;VERSION 1.0	13	6	N
A1AXEDIT	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXEDIT.m	62	3223	A1AXEDIT ;SLL/ALB ISC; Ext Rev Enter/Edit Routine; 1/15/88	;;VERSION 1.0	14	6	N
A1AXEDQK	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXEDQK.m	40	1765	A1AXEDQK ;SLL/ALB ISC; Quick Access Options;1/6/88	;;VERSION 1.0	12	1	N
A1AXEDRD	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXEDRD.m	45	2051	A1AXEDRD ;SLL/ALB ISC; RD/CO Edit Routine; 5/15/88	;;VERSION 1.0	12	1	N
A1AXFS	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXFS.m	41	1860	A1AXFS ;SLL/ALB ISC; RD FACILITY STATISTICS (LAST REVIEW DATE); 1/20/88	;;VERSION 1.0	10	2	N
A1AXFS1	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXFS1.m	31	2096	A1AXFS1 ;SLL/ALB ISC; RD FACILITY STATISTICS (LAST REVIEW DATE); 1/20/88	;;VERSION 1.0	4	3	N
A1AXFS2	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXFS2.m	56	2561	A1AXFS2 ;SLL/ALB ISC; RD FACILITY STATISTICS (LAST REVIEW DATE); 1/20/88	;;VERSION 1.0	10	3	N
A1AXFSS	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXFSS.m	41	1706	A1AXFSS ;SLL/ALB ISC; FACILITY STATISTICS (LAST REVIEW DATE); 1/20/88	;;VERSION 1.0	9	2	N
A1AXFSS1	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXFSS1.m	32	2125	A1AXFSS1 ;SLL/ALB ISC; FACILITY STATISTICS (LAST REVIEW DATE); 1/20/88	;;VERSION 1.0	4	3	N
A1AXFSS2	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXFSS2.m	54	2313	A1AXFSS2 ;SLL/ALB ISC; FACILITY STATISTICS (LAST REVIEW DATE); 1/20/88	;;VERSION 1.0	10	3	N
A1AXGACO	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXGACO.m	63	3619	A1AXGACO ;SLL/ALBANY ISC; CO ACTION PLAN GROUP APPROVAL; 1/20/88	;;VERSION 1.0	16	5	N
A1AXGARD	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXGARD.m	63	3630	A1AXGARD ;SLL/ALBANY ISC; RD ACTION PLAN GROUP APPROVAL; 1/20/88;5/24/88  1:08 PM	;;VERSION 1.0	16	5	N
A1AXHELP	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXHELP.m	8	463	A1AXHELP ;SLL/ALB ISC; HELP; 5/15/88	;;VERSION 1.0	3	1	N
A1AXLREC	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXLREC.m	15	729	A1AXLREC ; SLL/ALB ISC; LIST RECOMMEND NUMBER; 3/15/88	;;VERSION 1.0	2	2	N
A1AXPL	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXPL.m	29	1315	A1AXPL ;SLL/ALB ISC; TYPE OF PROGRAM STATISTICS LIST; 3/23/88	;;VERSION 1.0	7	2	N
A1AXPL1	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXPL1.m	21	866	A1AXPL1 ;SLL/ALB ISC; TYPE OF PROGRAM STATISTICS; 3/23/88	;;VERSION 1.0	4	1	N
A1AXPL2	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXPL2.m	24	1281	A1AXPL2 ;SLL/ALB ISC; TYPE OF PROGRAM STATISTICS LIST; 3/23/88	;;VERSION 1.0	5	4	N
A1AXPOST	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXPOST.m	15	691	A1AXPOST ; SLL/ALB; POST INIT FOR EXT REV; 5/1/88;5/27/88  8:39 AM		3	0	N
A1AXPQ	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXPQ.m	72	4288	A1AXPQ ; GENERATED FROM 'A1AX PINQ' PRINT TEMPLATE (#1466) ; 06/10/88 ; (FILE 11830, MARGIN=132)		17	0	N
A1AXPQ1	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXPQ1.m	46	2157	A1AXPQ1 ; GENERATED FROM 'A1AX PINQ' PRINT TEMPLATE (#1466) ; 06/10/88 ; (continued)		14	0	N
A1AXRA	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXRA.m	17	473	A1AXRA ;SLL/ALB ISC; Recom Status and Action Plan Report ;1/15/88	;;VERSION 1.0	5	2	N
A1AXRAD	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXRAD.m	65	3155	A1AXRAD ; GENERATED FROM 'A1AX PRAD' PRINT TEMPLATE (#108) ; 01/28/88 ; (FILE 11830, MARGIN=80)		17	0	N
A1AXRAND	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXRAND.m	6	165	A1AXRAND ;SLL/ALB;GENERATES ARRAY OF PSEDO-RANDOM INTEGERS;2/28/88	;;VERSION 1.0	1	2	N
A1AXRAO	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXRAO.m	65	3155	A1AXRAO ; GENERATED FROM 'A1AX PRAO' PRINT TEMPLATE (#107) ; 01/28/88 ; (FILE 11830, MARGIN=80)		17	0	N
