routine	entry_index	line_text	tag_offset	error_text
DENTAR16	1	1	DENTAR16	S - First line of routine violates the SAC.
DENTAR4	1	1	DENTAR4	S - First line of routine violates the SAC.
DENTARA	1	1	DENTARA	S - First line of routine violates the SAC.
DENTCRD	1	1	DENTCRD	S - First line of routine violates the SAC.
DENTCRD1	1	1	DENTCRD1	S - First line of routine violates the SAC.
DENTCRD2	1	1	DENTCRD2	S - First line of routine violates the SAC.
DENTDNJ1	1	43	LOCK+1	S - Non-Incremental Lock.
DENTDNJ1	2	43	LOCK+1	S - Lock missing Timeout.
DENTE0	1	1	DENTE0	S - First line of routine violates the SAC.
DENTE0	2	5	NCLIN1	S - Non-Incremental Lock.
DENTE0	3	7	SITE+1	S - Non-Incremental Lock.
DENTE0	4	10	NC0	S - Non-Incremental Lock.
DENTE0	5	12	NC1	S - Non-Incremental Lock.
DENTE1	1	1	DENTE1	S - First line of routine violates the SAC.
DENTE1	2	10	TRT+1	S - Non-Incremental Lock.
DENTE1	3	12	TREAT1+1	S - Non-Incremental Lock.
DENTE1	4	16	PERS1	S - Non-Incremental Lock.
DENTE1	5	22	Q	S - Non-Incremental Lock.
DENTE1	6	26	ADMIN1	S - Non-Incremental Lock.
DENTE1	7	29	TR1	S - Non-Incremental Lock.
DENTE1	8	31	TR2	S - Non-Incremental Lock.
DENTE1	9	67	LOCK+1	S - Non-Incremental Lock.
DENTE1	10	67	LOCK+1	S - Lock missing Timeout.
DENTE2	1	1	DENTE2	S - First line of routine violates the SAC.
DENTE2	2	4	TSE+1	S - Non-Incremental Lock.
DENTE2	3	12	TDRR0	S - Non-Incremental Lock.
DENTE2	4	14	TDRR1	S - Non-Incremental Lock.
DENTE2	5	16	TDRR1+2	S - Non-Incremental Lock.
DENTE2	6	19	FBRR0	S - Non-Incremental Lock.
DENTE2	7	21	FBRR1	S - Non-Incremental Lock.
DENTE2	8	22	FBRR1+1	S - Non-Incremental Lock.
DENTE2	9	25	PRR0	S - Non-Incremental Lock.
DENTE2	10	27	PRR01	S - Non-Incremental Lock.
DENTE2	11	29	PRR1	S - Non-Incremental Lock.
DENTE2	12	31	PRR1+2	S - Non-Incremental Lock.
DENTE2	13	34	ARR0	S - Non-Incremental Lock.
DENTE2	14	36	ARR1	S - Non-Incremental Lock.
DENTE2	15	37	ARR1+1	S - Non-Incremental Lock.
DENTE3	1	1	DENTE3	S - First line of routine violates the SAC.
DENTE3	2	12	PROV+1	S - Non-Incremental Lock.
DENTEC	1	1	DENTEC	S - First line of routine violates the SAC.
DENTP1	1	1	DENTP1	S - First line of routine violates the SAC.
DENTPCD	1	1	DENTPCD	S - First line of routine violates the SAC.
DENTPCD1	1	1	DENTPCD1	S - First line of routine violates the SAC.
DENTVRP4	1	139	TIU+14	S - Lock missing Timeout.
DG1010P	1	1	DG1010P	S - First line of routine violates the SAC.
DG141PB	1	1	DG141PB	S - First line of routine violates the SAC.
DG272PT	1	1	DG272PT	S - First line of routine violates the SAC.
DG272PT1	1	1	DG272PT1	S - First line of routine violates the SAC.
DG272PT2	1	1	DG272PT2	S - First line of routine violates the SAC.
DG284PT1	1	1	DG284PT1	S - First line of routine violates the SAC.
DG284PT2	1	1	DG284PT2	S - First line of routine violates the SAC.
DG53141P	1	1	DG53141P	S - First line of routine violates the SAC.
DG53181P	1	1	DG53181P	S - First line of routine violates the SAC.
DG53182P	1	193	HL7713+7	S - Lock missing Timeout.
DG53197P	1	1	DG53197P	S - First line of routine violates the SAC.
DG53198P	1	1	DG53198P	S - First line of routine violates the SAC.
DG53213P	1	8	RUN+1	S - Non-Incremental Lock.
DG53216P	1	1	DG53216P	S - First line of routine violates the SAC.
DG53231P	1	1	DG53231P	S - First line of routine violates the SAC.
DG53232A	1	1	DG53232A	S - First line of routine violates the SAC.
DG53233P	1	1	DG53233P	S - First line of routine violates the SAC.
DG53285M	1	1	DG53285M	S - First line of routine violates the SAC.
DG53289M	1	1	DG53289M	S - First line of routine violates the SAC.
DG53292M	1	1	DG53292M	S - First line of routine violates the SAC.
DG53294E	1	1	DG53294E	S - First line of routine violates the SAC.
DG53294M	1	1	DG53294M	S - First line of routine violates the SAC.
DG53296	1	1	DG53296	S - First line of routine violates the SAC.
DG53296C	1	1	DG53296C	S - First line of routine violates the SAC.
DG53296D	1	1	DG53296D	S - First line of routine violates the SAC.
DG53296M	1	1	DG53296M	S - First line of routine violates the SAC.
DG53318M	1	1	DG53318M	S - First line of routine violates the SAC.
DG53318P	1	1	DG53318P	S - First line of routine violates the SAC.
DG53342P	1	1	DG53342P	S - First line of routine violates the SAC.
DG53358C	1	1	DG53358C	S - First line of routine violates the SAC.
DG53358D	1	1	DG53358D	S - First line of routine violates the SAC.
DG53367A	1	1	DG53367A	S - First line of routine violates the SAC.
DG53372M	1	1	DG53372M	S - First line of routine violates the SAC.
DG53376M	1	1	DG53376M	S - First line of routine violates the SAC.
