file_number	piks	piks_method	piks_confidence	piks_evidence
691.23	I	H-05	certain	inherits from 691.1
691.24	I	H-05	certain	inherits from 691.1
691.25	I	H-05	certain	inherits from 691.1
691.26	I	H-05	certain	inherits from 691.1
691.27	I	H-05	certain	inherits from 691.1
691.28	I	H-05	certain	inherits from 691.1
691.29	I	H-05	certain	inherits from 691.1
691.3	I	H-05	certain	inherits from 691.1
691.31	I	H-05	certain	inherits from 691.1
691.32	I	H-05	certain	inherits from 691.1
691.33	I	H-05	certain	inherits from 691.1
691.34	I	H-05	certain	inherits from 691.1
691.35	I	H-05	certain	inherits from 691.1
691.36	I	H-05	certain	inherits from 691.1
691.37	I	H-05	certain	inherits from 691.36
691.38	I	H-05	certain	inherits from 691.37
691.39	I	H-05	certain	inherits from 691.1
691.4	I	H-05	certain	inherits from 691.1
691.41	I	H-05	certain	inherits from 691.1
691.42	I	H-05	certain	inherits from 691.1
691.43	I	H-05	certain	inherits from 691.1
691.44	I	H-05	certain	inherits from 691.1
691.45	I	H-05	certain	inherits from 691.26
691.46	I	H-05	certain	inherits from 691.1
691.47	I	H-05	certain	inherits from 691.1
691.48	I	H-05	certain	inherits from 691
691.5	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
691.51	I	H-05	certain	inherits from 691.5
691.517	I	H-05	certain	inherits from 691.5
691.52	I	H-05	certain	inherits from 691.5
691.52005	I	H-05	certain	inherits from 691.5
691.53	I	H-05	certain	inherits from 691.5
691.54	I	H-05	certain	inherits from 691.5
691.55	I	H-05	certain	inherits from 691.5
691.56	I	H-05	certain	inherits from 691.5
691.57	I	H-05	certain	inherits from 691.5
691.58	I	H-05	certain	inherits from 691.5
691.6	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
691.61	I	H-05	certain	inherits from 691.6
691.62	I	H-05	certain	inherits from 691.6
691.63	I	H-05	certain	inherits from 691.6
691.64	I	H-05	certain	inherits from 691.6
691.65	I	H-05	certain	inherits from 691.6
691.66	I	H-05	certain	inherits from 691.6
691.67	I	H-05	certain	inherits from 691.6
691.68	I	H-05	certain	inherits from 691.6
691.69	I	H-05	certain	inherits from 691.6
691.7	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
691.701	I	H-05	certain	inherits from 691.7
691.702	I	H-05	certain	inherits from 691.7
691.703	I	H-05	certain	inherits from 691.7
691.704	I	H-05	certain	inherits from 691.7
691.71	I	H-05	certain	inherits from 691.7
691.72	I	H-05	certain	inherits from 691.7
691.73	I	H-05	certain	inherits from 691.7
691.74	I	H-05	certain	inherits from 691.7
691.75	I	H-05	certain	inherits from 691.7
691.8	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
691.801	I	H-05	certain	inherits from 691.8
691.802	I	H-05	certain	inherits from 691.8
691.803	I	H-05	certain	inherits from 691.8
691.804	I	H-05	certain	inherits from 691.8
691.805	I	H-05	certain	inherits from 691.8
691.806	I	H-05	certain	inherits from 691.8
691.811	I	H-05	certain	inherits from 691.8
691.812	I	H-05	certain	inherits from 691.8
691.813	I	H-05	certain	inherits from 691.8
691.814	I	H-05	certain	inherits from 691.8
691.815	I	H-05	certain	inherits from 691.8
691.87	I	H-05	certain	inherits from 691.8
691.9	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
691.9001	I	H-05	certain	inherits from 691.9
691.911	I	H-05	certain	inherits from 691.9
691.921	I	H-05	certain	inherits from 691.9
691.9212	I	H-05	certain	inherits from 691.921
691.922	I	H-05	certain	inherits from 691.9
691.923	I	H-05	certain	inherits from 691.9
691.93	I	H-05	certain	inherits from 691.9
691.931	I	H-05	certain	inherits from 691.93
691.96	I	H-05	certain	inherits from 691.8
691.97	I	H-05	certain	inherits from 691.8
692	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
692.01	I	H-05	certain	inherits from 692
692.019	I	H-05	certain	inherits from 692
692.02	I	H-05	certain	inherits from 692
692.03	I	H-05	certain	inherits from 692
692.07	I	H-05	certain	inherits from 692
692.21	I	H-05	certain	inherits from 692.02
694	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
694.01	I	H-05	certain	inherits from 694
694.02	I	H-05	certain	inherits from 694
694.02005	I	H-05	certain	inherits from 694
694.035	I	H-05	certain	inherits from 694
694.038	I	H-05	certain	inherits from 694
694.041	I	H-05	certain	inherits from 694
694.054	I	H-05	certain	inherits from 694
694.055	I	H-05	certain	inherits from 694
694.057	I	H-05	certain	inherits from 694
694.058	I	H-05	certain	inherits from 694
694.11	K	H-20	low	name contains K-pattern
694.5	I	H-08	high	has ptr to file 4; no ptr to file 2
694.586	I	H-05	certain	inherits from 694.5
694.8	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
694.801	I	H-05	certain	inherits from 694.8
694.802	I	H-05	certain	inherits from 694.8
696.2	S	H-21	low	name contains S-pattern
696.3	S	H-21	low	name contains S-pattern
696.5	S	H-21	low	name contains S-pattern
697.2	K	H-18	moderate	ptr_in=12 ptr_out=0
697.21	K	H-05	certain	inherits from 697.2
697.3	S	H-39	moderate	orphan: 0 ptrs in, 0 ptrs out
697.31	K	H-20	low	name contains K-pattern
697.5	K	H-18	moderate	ptr_in=11 ptr_out=1
697.51	K	H-05	certain	inherits from 697.5
697.53	K	H-05	certain	inherits from 697.5
697.55	K	H-05	certain	inherits from 697.5
698	I	H-08	high	has ptr to file 4; no ptr to file 2
698.01	I	H-05	certain	inherits from 698
698.02	I	H-05	certain	inherits from 698
698.093	I	H-05	certain	inherits from 698
698.1	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
698.11	I	H-05	certain	inherits from 698.1
698.12	I	H-05	certain	inherits from 698.1
698.2	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
698.21	I	H-05	certain	inherits from 698.2
698.22	I	H-05	certain	inherits from 698.2
698.3	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
698.31	I	H-05	certain	inherits from 698.3
698.32	I	H-05	certain	inherits from 698.3
699	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
699.01	I	H-05	certain	inherits from 699
