file_number	file_name	global_root	parent_file	field_count	pointer_in	pointer_out	record_count	is_dinum	piks	piks_method	piks_confidence	piks_evidence	piks_secondary	volatility	sensitivity	portability	volume	subdomain	status
6914.04	RESPONSIBLE SHOP SUB-FIELD	^ENG(6914,	6914	6	0	2													extracted
6914.05	ORIGINAL BAR CODE ID SUB-FIELD	^ENG(6914,	6914	1	0	0													extracted
6914.092	IT COMMENTS SUB-FIELD	^ENG(6914,	6914	1	0	0													extracted
6914.1	CMR	^ENG(6914.1,		13	5	3	77	N											extracted
6914.2	PM PROCEDURES	^ENG(6914.2,		4	2	0	40	N											extracted
6914.23	TEXT SUB-FIELD	^ENG(6914.2,	6914.2	1	0	0													extracted
6914.3	NX SGL	^ENG(6914.3,		6	3	0	11	N											extracted
6914.31	FA GROUP SUB-FIELD	^ENG(6914.3,	6914.3	1	0	0													extracted
6914.4	NX BOC	^ENG(6914.4,		4	2	1	18	N											extracted
6914.43	FREQUENCY SUB-FIELD	^ENG(6914,	6914.04	6	0	1													extracted
6914.6	NX FUND	^ENG(6914.6,		6	3	0	27	N											extracted
6914.7	NX A/O	^ENG(6914.7,		2	3	0	10	N											extracted
6914.8	NX DISPOSITION METHOD	^ENG(6914.8,		2	3	0	17	N											extracted
6914.9	NATIONAL EIL	^ENG(6914.9,		4	0	1	98	N											extracted
6915.1	FAP DOCUMENT COUNTERS	^ENG(6915.1,		6	0	0	3	N											extracted
6915.11	AV REASON	^ENG(6915.11,		2	5	0	17	N											extracted
6915.2	FA DOCUMENT LOG	^ENG(6915.2,		60	0	4	1	N											extracted
6915.21	A.V. COMMENTS SUB-FIELD	^ENG(6915.2,	6915.2	1	0	0													extracted
6915.3	FB DOCUMENT LOG	^ENG(6915.3,		47	1	4	1	N											extracted
6915.31	A.V. COMMENTS SUB-FIELD	^ENG(6915.3,	6915.3	1	0	0													extracted
6915.4	FC DOCUMENT LOG	^ENG(6915.4,		64	0	8	1	N											extracted
6915.41	A.V. COMMENTS SUB-FIELD	^ENG(6915.4,	6915.4	1	0	0													extracted
6915.5	FD DOCUMENT LOG	^ENG(6915.5,		42	0	5	1	N											extracted
6915.51	A.V. COMMENTS SUB-FIELD	^ENG(6915.5,	6915.5	1	0	0													extracted
6915.6	FR DOCUMENT LOG	^ENG(6915.6,		48	0	10	1	N											extracted
6915.61	A.V. COMMENTS SUB-FIELD	^ENG(6915.6,	6915.6	1	0	0													extracted
6915.9	FAP BALANCES	^ENG(6915.9,		2	0	1	1	N											extracted
6915.91	FUND SUB-FIELD	^ENG(6915.9,	6915.9	2	0	2													extracted
6915.911	STANDARD GENERAL LEDGER SUB-FIELD	^ENG(6915.9,	6915.91	2	0	1													extracted
6915.9111	MONTH SUB-FIELD	^ENG(6915.9,	6915.911	2	0	0													extracted
6916	BERS SURVEY	^ENGS(6916,		23	0	0	7	N											extracted
6916.07	I.A.1. NAME SUB-FIELD	^ENGS(6916,	6916	12	0	1													extracted
6916.08	7a. GENERAL EXPERTISE SUB-FIELD	^ENGS(6916,	6916.07	1	0	0													extracted
6916.09	7b. MFG/EQUIP TYPE/MOD# SUB-FIELD	^ENGS(6916,	6916.07	4	0	1													extracted
6916.1	VI.A. CONTRACT SERVICE SUB-FIELD	^ENGS(6916,	6916	13	0	1													extracted
6916.11	VII. ADDITIONAL SUPPORT AREAS SUB-FIELD	^ENGS(6916,	6916	8	0	0													extracted
6916.12	COMMENTS SUB-FIELD	^ENGS(6916,	6916.11	1	0	0													extracted
6916.2	HAND RECEIPT TEXT	^ENG(6916.2,		4	2	0	3	N											extracted
6916.21	TEXT SUB-FIELD	^ENG(6916.2,	6916.2	1	0	0													extracted
6916.3	IT ASSIGNMENT	^ENG(6916.3,		14	0	6	1	N											extracted
6916.31	PREVIOUS SIGNATURES SUB-FIELD	^ENG(6916.3,	6916.3	5	0	2													extracted
6917	CATEGORY STOCK NUMBER	^ENCSN(6917,		17	4	7	4016	N											extracted
6917.016	VENDOR SUB-FIELD	^ENCSN(6917,	6917	2	0	1													extracted
6917.04	NOMENCLATURE SUB-FIELD	^ENCSN(6917,	6917	1	0	0													extracted
6918	Y2K CATEGORY LOG	^ENG(6918,		2	0	1	1	N											extracted
6918.01	CHANGE DATE/TIME SUB-FIELD	^ENG(6918,	6918	3	0	1													extracted
6918.1	UTILITY SYSTEMS	^ENG(6918.1,		3	1	0	12	N											extracted
6918.11	DESCRIPTION SUB-FIELD	^ENG(6918.1,	6918.1	1	0	0													extracted
6919	ENG ARCHIVE LOG	^ENG(6919,		11	0	0	3	N											extracted
6919.01	ACTIVITY LOG SUB-FIELD	^ENG(6919,	6919	3	0	0													extracted
6919.02	EQUIPMENT INV. ENTRY # SUB-FIELD	^ENG(6919,	6919	1	0	0													extracted
6919.1	WO ARCHIVE	^ENAR(6919.1,		29	0	0	1	N											extracted
6919.11	EMPLOYEES ASSIGNED SUB-FIELD	^ENAR(6919.1,	6919.1	3	0	0													extracted
6919.12	COMMENTS SUB-FIELD	^ENAR(6919.1,	6919.1	1	0	0													extracted
6919.2	2162 ACCIDENT ARCHIVE	^ENAR(6919.2,		62	0	0	1	N											extracted
6919.21	HOME ADDRESS SUB-FIELD	^ENAR(6919.2,	6919.2	1	0	0													extracted
6919.22	ACCIDENT NARRATIVE SUB-FIELD	^ENAR(6919.2,	6919.2	1	0	0													extracted
6919.23	CORRECTIVE NARRATION SUB-FIELD	^ENAR(6919.2,	6919.2	1	0	0													extracted
6919.24	EVALUATION OF REPORT SUB-FIELD	^ENAR(6919.2,	6919.2	1	0	0													extracted
6920	WORK ORDER #	^ENG(6920,		40	5	11	2	N											extracted
6920.01	COMMENTS SUB-FIELD	^ENG(6920,	6920	1	0	0													extracted
6920.02	TECHNICIANS ASSIGNED SUB-FIELD	^ENG(6920,	6920	3	0	2													extracted
6920.035	WORK ACTION SUB-FIELD	^ENG(6920,	6920	1	0	1													extracted
6920.1	NEW WORK ACTION	^ENG(6920.1,		3	2	0	36	N											extracted
6920.11	SYNONYM SUB-FIELD	^ENG(6920.1,	6920.1	1	0	0													extracted
6920.5	WORK ACTION	^ENG("ACT",		2	0	1	12	N											extracted
6921	WORK CENTER CODE	^DIC(6921,		2	1	0	434	N											extracted
6922	ENGINEERING SECTION LIST	^DIC(6922,		7	7	1	36	N											extracted
6922.03	PM MONTH SUB-FIELD	^DIC(6922,	6922	2	0	1													extracted
6922.31	TECHNICIAN SUB-FIELD	^DIC(6922,	6922.03	2	0	1													extracted
6924	FSA-2162 REPORT	^ENG("FSA",		61	0	3	1	N											extracted
6924.01	HOME ADDRESS SUB-FIELD	^ENG("FSA",	6924	1	0	0													extracted
6924.02	ACCIDENT NARRATIVE SUB-FIELD	^ENG("FSA",	6924	1	0	0													extracted
6924.03	CORRECTIVE NARRATION SUB-FIELD	^ENG("FSA",	6924	1	0	0													extracted
6924.04	EVALUATION OF REPORT SUB-FIELD	^ENG("FSA",	6924	1	0	0													extracted
